N fonctionnalité;THEME;Date Fait;Demande 1;Demande 2;Demande 3;Demande 4;Résultat 1;Résultat 2;Résultat 3;Résultat 4;Paramètre Modifié;Ecran/Impression;Type;Ticket;Version
17615;INTERVENTION;23/04/2024;Ajouter VE à faire sous-certaines condtitions (voir paramètres);Peut tenir compte du type d'appareil, du type d'intervention..... ;;;PARAMETRES GENERAUX - Intervention - Onglet Saisie 4;;;;O;Ecran;Nouveauté;26465;2024_04_15
17617;PLANNING HEBDO;23/04/2024;Dans le planning graphique hebdo, possibilité de déplacer une tournée compléte d'un technicien pour affecter à un autre techncien et/ou autre date.;Clic-droit sur le technicien ou sur une intervention de la journée.;;;OK;;;;N;Ecran;Nouveauté;26467;2024_04_15
17618;PLANNING HEBDO;23/04/2024;Affichage des annotation/absences en passant la souris sur le technicien;;;;OK;;;;N;Ecran;Nouveauté;26463;2024_04_15
17619;PLANNING HEBDO;23/04/2024;Affichage du type de technicien;;;;OK;;;;N;Ecran;Nouveauté;26469;2024_04_15
17620;PLANNING HEBDO;23/04/2024;Affichage des horaires du technicien (clic sur le technicien);;;;OK;;;;N;Ecran;Nouveauté;26529;2024_04_15
17621;PLANNING HEBDO;23/04/2024;Affichage sens-interdit si le technicien est interdit pour le client choisi;;;;OK;;;;N;Ecran;Nouveauté;26708;2024_04_15
17622;INTERVENTION;23/04/2024;Alerte Création d'intervention si devis accepté existant mais non programmé;Peut tenir compte du type d'intervention, devis complet, livraison agence.;;;PARAMETRES GENERAUX - Intervention - Onglet Saisie 4;FICHIERS GENERAUX - Onglet Type - Onglet Intervention - Case Test Devis;;;O;Ecran;Nouveauté;26468;2024_04_15
17623;INTERVENTION;23/04/2024;Code défaut appareil obligatoire selon le code intervention;;;;PARAMETRES GENERAUX - Intervention - Onglet Saisie 4;FICHIERS GENERAUX - Onglet Type - Onglet Intervention - Case Code défaut appareil obligatoire;;;O;Ecran;Nouveauté;26464;2024_04_15
17624;INTERVENTION;23/04/2024;Rendre obligatoire le nom du client, 1 téléphone, 1 adresse mail, 1 digicode lors de la création d'une intervention.;L'obligation du digicode peut tenir compte du type de logement s'il n'est pas coché Inexistant;L'obligation de l'adresse mail tient  compte du statuf (inexistant, refus du client...);;PARAMETRES GENERAUX - Intervention - Onglet Saisie 2;PARAMETRES GENERAUX - Intervention - Onglet Saisie 4;FICHIERS GENERAUX - Onglet Divers 1 - Onglet Logement;;O;Ecran;Nouveauté;26464;2024_04_15
17611;PLANNING AUTO;22/04/2024;Possibilité dans le planning auto de ne prendre que les logements vacants.;;;;OK;;;;N;Ecran;Modification;;2024_04_15
17612;CLIENT;22/04/2024;Possibilité de ne pas avoir de message si problème sur le mois prévisionnel;;;;PARAMETRES GENERAUX - Divers - Page 1;;;;O;Ecran;Modification;26856;2024_04_15
17610;STOCK;08/04/2024;Possibilité d'importer les minis et maxis dans le cas d'une gestion de stock Magasin Agence avec Mini Maxi par Agence;;;;PARAMETRES GENERAUX - Stock - Onglet Page 1;MENU LE STOCK - Article - Bouton Outils - Bouton Saisir ou Enlever Mini Maxi - Bouton Maj Fichier Externe;;;O;Ecran;Modification;;2024_04_01
17609;CLIENT;26/03/2024;Nouveaux champs dans la fiche client : Type de logement et Propriétaire/Locataire;Si renseignées ces informations seront reprises lors de la gestion de l'attestation de TVA (voir code 17608);;;ECRAN CLIENT - Onglet Divers;;;;N;Ecran;Modification;;2024_03_15
17607;CLIENT;25/03/2024;Ouverture fiche client. Ne pas faire apparaitre de message si la Tva du Client est différente de la TVA des Appareils;Seulement pour la gestion de contrat par Appareil;;;PARAMETRES GENERAUX - Divers - Onglet Page 1;;;;O;Ecran;Nouveauté;;2024_03_15
17608;FACTURE;25/03/2024;Possibilité de saisir les données de l'attestation de TVA, pour les factures et devis avec Tva réduite et minorée;L'édition de l'attestation prend en compte la saisie.;;;ECRAN FACTURE - Onglet Entête - Bouton Gérer Attestation TVA;;;;N;Ecran;Nouveauté;;2024_03_15
17605;COMPTABILITE;20/03/2024;Nouvelle interface comptale pour le logiciel INQOM;;;;OK;;;;N;Ecran;Nouveauté;;2024_03_15
17601;COLLECTIF;19/03/2024;Possibilité de modifier en masse les payeurs (pièces, contrat, MO, déplacement) pour les locataires d'un collectif;;;;MENU LES COLECTIFS - Divers - Modification code porte Type Logement Payeur Régie - Bouton Attribution Payeur;;;;N;Ecran;Modification;;2024_03_15
17602;COLLECTIF;19/03/2024;Possibilité de modifier le code tarif si non utilisé dans les clients, factures...;;;;MENU LES FICHIERS - Tarif - Bouton Gérer les tarifs;;;;N;Ecran;Modification;;2024_03_15
17603;DIVERS;19/03/2024;Les envois manuels de SMS (intervention, client selon critères...) sont accessibles par 2 menus;;;;MENU LES CLIENTS  - Divers - Traitement + Edition - Bouton Envoi SMS;MENU Divers - SMS;;;N;Ecran;Modification;;2024_03_15
17604;FACTURE;19/03/2024;Liste des Interventions programmées avec Devis;;;;MENU LES FACTURES - Facture - Bouton Production - Bouton Intervention Programmée avec Devis;;;;N;Ecran;Nouveauté;;2024_03_15
17600;DIVERS;12/03/2024;Les paramètres SMS ne sont plus dans les PARAMETRES GENERAUX - DIVERS;Ils sont désormais dans un menu distinct. ;;;PARAMETRES GENERAUX;;;;O;Ecran;Modification;;2024_03_01
17595;DIVERS;01/03/2024;SMS avec critère.;Ajout du critère Visite Forfaitaire;;;MENU LES CLIENTS - Divers -  Traitements + Editionc + Bouton Envoi SMS - Bouton Selon Critères;;;;N;Ecran;Modification;;2024_02_15
17596;DIVERS;01/03/2024;Dans l'écran de résultat d'envoi SMS, avoir la possibilité de supprimer des lignes;;;;OK;;;;N;Ecran;Modification;;2024_02_15
17598;CLIENT;01/03/2024;Possibilité d'envoyer des SMS aux clients filtrés dans la recherche Client;;;;MENU LES CLIENTS - Clients - Bouton SMS;;;;N;Ecran;Nouveauté;;2024_02_15
17599;APPAREIL;01/03/2024;Possibilité de saisir des libellés de mesures (Défaut, correction, recommandation..);Ceux-ci pourront être choisis dans les différents écrans de mesure afin d'éviter une saisie.;;;MENU LES FICHIERS - Nomenclature - Bouton Libellé Mesures;;;;N;Ecran;Nouveauté;1438;2024_03_01
17597;COLLECTIF;27/02/2024;Attribuer les dates et fin de garantie pour les appareils d'un collectif;;;;MENU LES COLLECTIFS - Divers - Divers - Bouton Date et Technicien de MES - Date de Garantie;;;;N;Ecran;Modification;;2024_02_15
17593;CLIENT;26/02/2024;Nouveau Bouton Vue Globale. Permet en un clic de voir les différentes informations liées au client (Appareil, Facture, Devis, Contact, Message...);Un paramètre permet de spécifier le nombre maximum d'informations (par défaut );;;PARAMETRES GENERAUX - Divers - Onglet Page 2;;;;O;Ecran+Impression;Nouveauté;26473;2024_02_15
17594;DIVERS;26/02/2024;Possibilité d'avoir plusieurs code retour remplacement avec notamment mise à zéro des points de fidélité;;;;LES FICHIERS GENERAUX - Onglet Intervention/Retour - Onglet retour;;;;N;Ecran+Impression;Nouveauté;;2024_02_15
17592;FACTURE;20/02/2024;Liste des impayés. Possibilité d'éditer l'observation contenue dans l'historique des relances.;;;;OK;;;;N;Ecran+Impression;Nouveauté;;2024_02_15
17591;PARAMETRES;25/01/2024;Pouvoir affecter le même paramètre d'autorisation à tous les utilsateurs ou un groupe d'utilisateurs;;;;MENU LES PARAMETRES - Autorisations - Bouton Attribuer un paramètre;;;;N;Ecran;Nouveauté;;2024_01_01
17589;PLANNING AUTO;09/01/2024;Dans l'écran de résultat du planning auto, ajout d'un visuel en cas d'existence d'une alerte appel pour le client;;;;OK;;;;N;Ecran;Modification;;2024_01_01
17590;APPAREIL;09/01/2024;L'observation de la fiche appareil est passée de 200 à 250 caractères;;;;OK;;;;N;Ecran;Correction;;2024_01_01
17582;CONTRAT;03/01/2024;Mise à jour des montants de contrat par appareils.;Filtre possible sur le type d'appareil;;;MENU Les Contrats - Mise à jour prix client;;;;N;Ecran;Modification;;2024_01_01
17583;COLLECTIF;03/01/2024;Récupération Collectif. Ajout de champs dans le fichier externe;Option, Client Obligatoire, Alerte Appel, Mois prévisionnel VE et Mobile 2;;;OK;;;;N;Ecran;Modification;25881;2024_01_01
17585;STOCK;03/01/2024;Possibilité de modifier les dates de livraison dans une commande;;;;OK;;;;N;Ecran;Modification;25966;2024_01_01
17586;MOBILITE;03/01/2024;Les interventions annulées dans la mobilité sont stockées dans une table PKANNUL;;;;OK;;;;N;Ecran;Nouveauté;26250;2024_01_01
17587;FACTURE;03/01/2024;Possibilité de bloquer les aprovisiionement stock;Critères possible dans l'édition Devis Intervention;;;ECRAN FACTURE;;;;N;Ecran;Nouveauté;25844;2024_01_01
17588;CLIENT;03/01/2024;Import Externe Contact;Manuel;Automate 091;;PARAMETRES GENERAUX -  Divers - Onglet Répertoire Automate;MENU LES CLIENTS - Divers - Traitement Editions - Bouton Import Contact;;;O;Ecran;Nouveauté;24334;2024_01_01
17584;DIVERS;15/12/2023;Possibilité d'ajouter une partie RGPD dans l'attestation entretien;;;;MENU Les Paramètres Généraux - Raison Sociale - Onglet RGPD;;;;O;Ecran+Impression;Modification;;2024_01_01
17579;CLIENT;22/11/2023;Automate 074 Contrôle Client. Possibilité de critères client.;Client sous ou hors contrat, individuel ou collectif. Exclusion des clients interdits.;;;PARAMETRES GENERAUX - Divers - Onglet Automatismes 1;;;;N;Ecran;Nouveauté;;2023_11_15
17580;COLLECTIF;22/11/2023;Espace interdit (début et fin) dans le code collectif;;;;Corrigé;;;;N;Ecran;Correction;;2023_11_15
17581;DIVERS;22/11/2023;Statistiques contrat. Une anomalie existait dans la sortie de l'écran de statistiques contrat.;;;;MENU LES CONTRATS - Statistiques - Bouton Evolution Contrat - Bouton Construire - Bouton 10 dernières années;;;;N;Ecran;Correction;;2023_11_15
17578;FACTURE;17/11/2023;Editer les statistiques interventions cumulées par année;;;;MENU LES FACTURES - Facture - Bouton Editions - Bouton Statistiques Interventions;;;;N;Ecran+Impression;Nouveauté;;2023_11_15
17575;PERSONNEL;16/11/2023;Ajout du montant dans la consultation et édition de l'outillage;;;;OK;;;;N;Ecran;Modification;;2023_11_15
17576;STOCK;16/11/2023;Possibilité de n'afficher par défaut que les fournisseurs actifs.;;;;PARAMETRES GENERAUX - Stock - Onglet Page 3;;;;O;Ecran;Nouveauté;;2023_11_15
17577;INTERVENTION;16/11/2023;Recherche intervention. Ajout du critére TIERS;;;;OK;;;;O;Ecran;Nouveauté;24928;2023_11_15
17572;CLIENT;15/11/2023;Dans la fiche client, le code équipement n'était pas en lien avec la bonne table.;;;;Corrigé;;;;N;Ecran;Correction;26101;2023_11_15
17573;DIVERS;15/11/2023;Modification des automates autorisée à ADMINISTRATEUR;Modification des automates autorisée aux utilisateurs avec Modifier Paramètres Généraux cochés;;;OK;;;;O;Ecran;Modification;;2023_11_15
17574;DIVERS;15/11/2023;Dans les automates, il peut être renseigné 4 utilisateurs différents au lieu de 2;;;;OK;;;;N;Ecran;Modification;;2023_11_15
17571;FACTURE;10/11/2023;Comptage des règlements par type;;;;MENU LES FACTURES -  Facture - Bouton Editions - Bouton Comptage Règlements;;;;N;Ecran;Nouveauté;;2023_11_01
17570;FACTURE;07/11/2023;Absence Technicien avec réservation collectif. Possibilité de saisir le code collectif selon paramètre (facultatif ou obligatoire);;;;PARAMETRES GENERAUX  - Divers - Onglet Page 2;;;;O;Ecran;Nouveauté;;2023_11_01
17569;FACTURE;06/11/2023;Possibilité de voir tous les ramonages effectués avec critères de sélection;;;;MENU LES FACTURES - Factures - Bouton Edition - Bouton Ramonage;;;;N;Ecran+Impression;Nouveauté;;2023_11_01
17568;FACTURE;03/11/2023;Possibilité de saisir et d'éditer un certificat de ramonage;;;;ECRAN FACTURE -  Bouton Ramonage;;;;N;Ecran+Impression;Nouveauté;;2023_11_01
17567;CLIENT;26/10/2023;Modification de l'Ecran de recherche client.;Tous les critères de recherche sur date ont été déplacés dans un onglet date.;Ajout du critère Pas AVP;;MENU LES CLIENTS - Client;;;;N;Ecran;Modification;;2023_10_15
17566;DIVERS;24/10/2023;Ajout de la variable date de la dernière programmation de la fiche client dans les textes courrier, mailing;la variable s'intitule <<PROGRAMMATION>>;;;OK;;;;N;Impression;Nouveauté;;2023_10_15
17564;CLIENT;16/10/2023;Affichage d'un visuel Devis Caduc (si existant) dans l'écran client;;;;OK;;;;N;Ecran;Nouveauté;;2023_10_01
17565;FACTURE;16/10/2023;Affichage d'un visuel Devis Caduc (si existant) dans l'écran facture;Affichage du visuel (couleur) type de contrat dans l'écran facture;;;OK;;;;N;Ecran;Nouveauté;;2023_10_01
17563;INTERVENTION;10/10/2023;Si l'intervention est rattachée à un devis, si gestion du stock voiture.;A la validation de la création de l'intervention, possibilité d'alimenter le stock voiture à partir du magasin selon le code activité;;;PARAMETRES GENERAUX  - Intervention - Onglet Saisie 2 - Cocher Mise à jour Magasin Voiture pour Devis;MENU LES FICHIERS - Généraux - Onglet Divers1 - Onglet Activité - Cocher Maj stock Devis Accepté avec intervention;;;O;Ecran;Nouveauté;;2023_10_01
17562;CONTRAT;09/10/2023;Création facture de contrat. Possibilité d'intégrer toutes les désignations du tarif.;;;;PARAMETRES GENERAUX  - Contrat - Onglet Facture de Renouvellement - Cocher Prendre toutes les désignations du tarif;;;;O;Ecran;Nouveauté;;2023_10_01
17559;FACTURE;05/10/2023;Edition Devis opérationnel. Ajout des Téléphones et Tiers;;;;OK;;;;N;Impression;Modification;;2023_10_01
17560;DIVERS;05/10/2023;Pour les SMS, possibilité que le mois de visite soit en chiffres en non plus en lettre;05/10/2023 au lieu de 05 Octobre 2023;;;PARAMETRES GENERAUX - SMS - Cocher Mois en Chiffres;;;;O;Ecran;Nouveauté;;2023_10_01
17561;PLANNING HEBDO;05/10/2023;Possibilité de rechercher les interventions existantes par code postal;;;;OK;;;;N;Ecran;Modification;;2023_10_01
17557;APPAREIL;04/10/2023;Ajout du fluide R454C;;;;OK;;;;N;Ecran;Nouveauté;;2023_10_01
17558;DIVERS;04/10/2023;Ajout de la variable N° contrat dans les textes courrier, mailing, attestation contrat;La variable s'intitule <<NUMCONTRAT>>;;;OK;;;;N;Impression;Nouveauté;;2023_10_01
17556;CLIENT;28/09/2023;Possibilité pour un acccès externe de voir les appareils liés au Tiers concerné;Ne fonctionne que pour un accès avec code Tiers.;;;MENU LES PARAMETRES - Autorisations - Bouton Gestion - Onglet Accès limité - Cocher Voir les appareils;;;;O;Ecran;Nouveauté;;2023_09_15
17555;CLIENT;27/09/2023;Possibilité de modifier les points de fidélité de la fiche client selon autorisation.;;;;MENU LES PARAMETRES - Autorisations - Bouton Gestion - Onglet Client;;;;O;Ecran;Nouveauté;;2023_09_15
17553;DIVERS;26/09/2023;Ajouter la variable code client dans les SMS;Variable #CODE CLIENT#;;;OK;;;;N;Ecran;Modification;;2023_09_15
17554;CLIENT;26/09/2023;Nouvel outils pour modifier par fichier externe Batiment, Escalier, N° porte, Etage, Code porte...;;;;MENU LES CLIENTS - Divers - Contrôles Clients - Onglet Par Fichier Externe - Bouton Mise à jour Batiment Escalier Porte Etage...;;;;N;Ecran;Nouveauté;;2023_09_15
17552;PERSONNEL;21/09/2023;La modification des primes dans la fiche personnel est désormais soumise à autorisation.;;;;MENU LES PARAMETRES - Autorisations - Bouton Gestion - Onglet Personnel;;;;O;Ecran;Modification;;2023_09_15
17551;DIVERS;12/09/2023;La variable <<FIDELITE>> (pour les points de fidélité) peut être utilisée dans les courriers et mailing;;;;OK;;;;N;Impression;Modification;;2023_09_01
17550;PLANNING AUTO;05/09/2023;Ecran Contruction Planning automatique. Le choix des technicien a été disposé dans un onglet à part pour permettre d'afficher plus de techniciens.;Pour éviter de scroller la liste des techniciens, il est possible de rechercher par nom contient.;;;MENU LES CONTRATS - Planning Entretien - Bouton Planning Automatique - Bouton Construire;;;;N;Ecran;Modification;;2023_09_01
17548;STOCK;04/09/2023;Dans le module de saisie d'inventaire, l'édition provoquait un blocage.;;;;Corrigé;;;;N;;Correction;;2023_09_01
17549;STOCK;04/09/2023;Gestion des codes barres. Nouvel outils pour affecter code barre, supprimer code barre et lister les doublons;;;;MENU LE STOCK - Article - Bouton Outils - Gestion Code Barre;;;;N;Ecran;Modification;;2023_09_01
17547;STOCK;30/08/2023;Catalogue RGS Septembre 2023;;;;OK;;;;N;;Modification;;2023_09_01
17546;COMPTABILITE;26/07/2023;Lien Comptable. Possibiité d'ajouter l'extension TVA pour les comptes spécifiques.;;;;MENU LES PARAMETRES - COMPTABLITE - Onglet Comptes Auxillaires - Cocher Spécifique avec extension TVA;;;;O;Ecran;Nouveauté;;2023_07_15
17545;NOMENCLATURE;24/07/2023;Possibilité de réaffecter des codes nomenclatures par fichier externe;;;;MENU LES FICHIERS - NOMENCLATURE - Onglet Code Nomenclature - Bouton Réaffecter Code Nomenclature;;;;N;;Correction;;2023_07_15
17544;DIVERS;19/07/2023;Dans le cas où il existait plus de 9999 nomenclatures, la création d'une nouvelle nomenclature avec code automatique bloquait.;;;;Corrigé;;;;N;;Correction;;2023_07_15
17543;FACTURE;11/07/2023;Lors de la conversion devis, problème si la quantité contient des décimales. Le système considérait que la quantité était insuffisante;;;;Corrigé;;;;N;;Correction;;2023_07_01
17539;NOMENCLATURE;10/07/2023;Selon paramètrage, Impossible de rendre une nomenclature inactive si utilisée dans les appareils;;;;PARAMETRES GENERAUX - Divers - Onglet Appareil;;;;O;Ecran;Nouveauté;;2023_07_01
17540;NOMENCLATURE;10/07/2023;Certaines modifications manuelles de la fiche nomenclature sont stockées dans une table (MODIFNOMEN);Modification concernées : Marque, Modèle, Gnere, Inactif, Puissance, Durée, Type appareil, ETAS, Classe énergétique, Installation;Un visuel M apparait dans la fiche nomenclature si modifications existantes, et qui permet de les visualiser.;;OK;;;;N;Ecran;Nouveauté;;2023_07_01
17541;NOMENCLATURE;10/07/2023;Possibilité de voir toutes les modifications manuelles apportées aux nomenclatures;;;;MENU OUTILS -  Activité Utilisateurs - Bouton Modifications manuelles - Bouton Nomenclature;;;;N;Ecran;Nouveauté;;2023_07_01
17542;NOMENCLATURE;10/07/2023;Nouvel automate 066, pour contrôler les nomenclatures, code nomenclature vide ou inconnu;;;;OK;;;;N;Ecran;Nouveauté;;2023_07_01
17538;DIVERS;07/07/2023;Paramètre d'autorisation pour rendre une nomenclature active ou inactive;;;;PARAMETRES AUTORISATIONS - Bouton Gestion - Onglet Appareil;;;;O;Ecran;Nouveauté;;2023_07_01
17537;INTERVENTION;03/07/2023;Création intervention et édition avis de passage. Tient compte de la date de blocage AVP de la fiche client avec un message.;Cela reste une alerte à confirmer Oui ou Non;;;OK;;;;N;;Nouveauté;;2023_07_01
17536;CLIENT;27/06/2023;Possibilité de saisir des types d'alertes client (Appel, Retour, Règlement).;Ces types pourront être utilisés par liste déroulante dans la fiche client (Onglet Note - Onglet Alerte);;;MENU LES FICHIERS - Généraux - Onglet Type - Onglet Alerte Client;;;;N;Ecran;Nouveauté;;2023_06_15
17534;CONTRAT;22/06/2023;Liste de VE restants à faire. Ajout des colonnes Appareils 2 et 3;;;;OK;;;;N;Ecran;Modification;;2023_06_15
17535;DIVERS;22/06/2023;Mise à disposition de la nouvelle base nationale des adresses;;;;OK;;;;N;Ecran;Modification;;2023_06_15
17533;CLIENT;19/06/2023;Affichage des factures à partir de la fiche client. Possibilité d'afficher les colonnes Versement en attente et solde théorique;;;;PARAMETRES GENERAUX -  Divers  - Onglet Page 1 - Cocher Affichage du solde théorique dans les Factures;;;;O;Ecran;Nouveauté;;2023_06_15
17532;MOBILITE;16/06/2023;Possibilité de rendre la saisie obligatoire du visa technique;;;;PARAMETRES GENERAUX -  Facture - Onglet Divers;;;;O;Ecran;Nouveauté;;2023_06_15
17531;FACTURE;15/06/2023;Possibilité de rendre la saisie obligatoire du visa technique;;;;PARAMETRES GENERAUX -  Facture - Onglet Divers;;;;O;Ecran;Nouveauté;;2023_06_15
17526;PRELEVEMENT;14/06/2023;Possibilité de supprimer un échéancier de prélèvement.;Soumis à autorisation;;;PARAMETRES AUTORISATION - Onglet Prélèvement;;;;O;Ecran;Nouveauté;;2023_06_01
17527;COMPTABILITE;14/06/2023;Pour les fichiers d'interface, il est possible de les préfixer par la date ou la date+heure;;;;PARAMETRES COMPTABILITE ;;;;O;Ecran;Modification;;2023_06_01
17525;STOCK;13/06/2023;Mise à disposition des catalogues juillet 2023 pour BOSCH et ELM;;;;OK;;;;N;;Nouveauté;;2023_06_01
17528;INTERVENTION;10/06/2023;Possibilité de bloquer des secteurs, villes, code postaux pour une période lors de la création d'une intervention.;Cela peut être une alerte ou un blocage pour chaque ligne si renseigné sinon le paramètre général de blocage sera pris.;;;MENU LES FICHIERS - CODES POSTAUX - Bouton Blocage Planning;PARAMETRES GENERAUX  - Intervention - Onglet Saisie 3;;;O;Ecran;Modification;;2023_06_01
17529;FACTURE;10/06/2023;Posssibilité de créer une liste de demande et réponse pour un visa technique;;;;MENU LES FICHIERS - GENERAUX - Onglet Intervention/Retour - Onglet Visa Technique;;;;N;Ecran;Nouveauté;;2023_06_01
17530;FACTURE;10/06/2023;Posssibilité de saisir un visa technique avec Démande et Réponse;;;;ECRAN FACTURE - Onglet Divers;;;;N;Ecran;Nouveauté;;2023_06_01
17523;FACTURE;06/06/2023;Selon autorisation, possibilité de cocher/décocher Duplicata. ;;;;PARAMETRES AUTORISATION - Onglet Facture;;;;O;Ecran;Nouveauté;;2023_06_01
17524;FACTURE;06/06/2023;Affichage des 2 premières observations dans la liste des devis facture.;Si les observations be sont pas affichées, faire clic-droit et affichage par défaut sur le + en haut à gauche de la liste.;;;LES FACTURES - Facture;;;;N;Ecran;Modification;;2023_06_01
17522;STOCK;05/06/2023;La mise à jour de prix manuels par fichier externe demande de saisir un mode qui n'a pas lieu d'être.;;;;Corrigé;;;;N;Ecran;Correction;;2023_06_01
17521;PLANNING HEBDO;02/06/2023;Lors de la création d'intervention à partir du plannig graphique, l'alerte appel du client n'est pas affichée.;;;;Corrigé;;;;N;Ecran;Correction;;2023_06_01
17520;MOBILITE;27/05/2023;Le code activité dans le retour mobilité peut être différent de celui de l'intervention.;;;;PARAMETRES GENERAUX - Facture - Onglet Divers;;;;O;Ecran;Modification;;2023_05_15
17519;COMPTABILITE;25/05/2023;Possibilité qu'une facture ne soit pas prise dans la Balance.;;;;ECRAN  FACTURE - Onglet Règlement;;;;O;Ecran;Modification;;2023_05_15
17518;COMPTABILITE;24/05/2023;Préfixe Client et Tiers. Possibilité d'ajouter le préfixe selon l'agence.;;;;PARAMETRES COMPTABILITE - Onglet Généralités - Cocher Prendre Paramètres Préfixe selon Agence;;;;O;Ecran;Modification;;2023_05_15
17516;PLANNING HEBDO;12/05/2023;Pour les plannings graphiques Journaliers et Hebdomadaires, Possibilité de ne pas faire apparaitre les techniciens exclus planning.;;;;PARAMETRES GENERAUX - Intervention - Onglet Saisie 1;;;;O;Ecran;Modification;;2023_05_01
17517;INTERVENTION;12/05/2023;Nouvel automate 063 pour la mise à jour d'interventions par fichier externe.;Les fichiers doivent être déposés dans un répertoire défini dans les paramètres. Pas de nommage. Les fichiers doivent respecter la structure demandée.;Toutes les interventions existantes des fichiers seront traitées.;Aprés traitement, les fichiers seront stockés dans un répertoire de sauvegarde et détruits du répertoire d'origine.;PARAMETRES GENERAUX - Divers - Onglet Répertoire Automate - Groupe 063;;;;O;Ecran;Nouveauté;;2023_05_01
17515;PLANNING AUTO;03/05/2023;Ajout d'une durée 2 pour le technicien 2.;Si la durée 2 n'est pas renseignée elle sera égale à la durée 1 ;;;OK;;;;N;Ecran;Modification;;2023_05_01
17514;PERSONNEL;02/05/2023;Gestion de l'état des véhicules (état des pneus, propreté...);;;;MENU LES FICHIERS - Personnel - Bouton Véhicule;Fiche Personnel -  Onglet Voiture - Onglet Contôles;;;N;Ecran;Nouveauté;;2023_05_01
17511;COLLECTIF;26/04/2023;Possibilité d'attribuer une date et un technicien de mise en service à tous les appareils d'un collectif;;;;MENU LES COLLECTIFS - Divers - Divers - Bouton Date et Technicien de MES;;;;N;Ecran;Nouveauté;;2023_04_15
17512;CLIENT;26/04/2023;Annuler une facture à partir de la fiche client.;Soumis à autorisation;;;OK;;;;N;Ecran;Nouveauté;;2023_04_15
17505;CLIENT;20/04/2023;Sortir les alertes VE avec critères.;Les alertes VE sont les contrats actifs arrivants à échéances dans N jours et pour lesquels l'entretien n'est pas fait;;;MENU LES CONTRATS - Planning Entretien - Bouton Alerte VE;;;;N;Ecran;Modification;;2023_04_15
17506;CLIENT;20/04/2023;Liste absences;Liste des contrats actifs ayant eu une ou plusieurs absences et pour lesquels l'entretien n'est pas fait;;;MENU LES CONTRATS - Planning Entretien - Bouton Listes Absences;;;;N;Ecran;Nouveauté;;2023_04_15
